"","mean","sd","median","lower2.5","upper97.5","diff"
"a[3,45]",-0.02356,0.01425,-0.02184,-0.05572,0.00131,0
"a[4,45]",0.00038,0.00185,-4e-05,-0.00387,0.00394,0
"a[5,45]",0.41561,0.03817,0.42933,0.33782,0.46763,1
"a[1,46]",0.23838,0.03702,0.25365,0.17944,0.29031,1
"a[2,46]",0.00303,0.00206,0.0028,-0.00138,0.00764,0
"a[3,46]",-0.02366,0.01421,-0.02189,-0.05602,0.00133,0
"a[4,46]",0.00037,0.00189,-4e-05,-0.00384,0.00398,0
"a[5,46]",0.41571,0.03757,0.42926,0.33875,0.46878,1
"a[1,47]",0.23822,0.03687,0.25405,0.17859,0.29131,1
"a[2,47]",0.00301,0.00204,0.00275,-0.00131,0.00776,0
"a[3,47]",-0.0235,0.01434,-0.02171,-0.05498,0.00099,0
"a[4,47]",0.00039,0.00193,-4e-05,-0.00409,0.00418,0
"a[5,47]",0.41547,0.03779,0.42937,0.33903,0.46894,1
"a[1,48]",0.2384,0.03726,0.25409,0.17858,0.29232,1
"a[2,48]",0.00304,0.00209,0.00276,-0.00129,0.00788,0
"a[3,48]",-0.02389,0.01431,-0.02194,-0.05659,0.00066,0
"a[4,48]",0.00035,0.00186,-4e-05,-0.00402,0.00378,0
"a[5,48]",0.41535,0.03815,0.42961,0.33588,0.46972,1
"a[1,49]",0.23831,0.03702,0.25405,0.17891,0.2906,1
"a[2,49]",0.00306,0.00213,0.00279,-0.00131,0.00809,0
"a[3,49]",-0.02358,0.01416,-0.02154,-0.05832,-8e-05,1
"a[4,49]",0.00035,0.00196,-4e-05,-0.00421,0.00409,0
"a[5,49]",0.41555,0.03815,0.43003,0.33761,0.46952,1
"a[1,50]",0.238,0.03671,0.25342,0.1793,0.29125,1
"a[2,50]",0.00337,0.00209,0.00296,-0.00036,0.00842,0
"a[3,50]",-0.02326,0.01415,-0.02137,-0.05537,0.00096,0
"a[4,50]",0.00025,0.00187,-4e-05,-0.00418,0.00371,0
"a[5,50]",0.41952,0.03551,0.43131,0.347,0.47367,1
"a[1,51]",0.23834,0.03735,0.25387,0.178,0.29267,1
"a[2,51]",0.00304,0.00206,0.0028,-0.00134,0.00779,0
"a[3,51]",-0.02382,0.0142,-0.02212,-0.05657,0.00333,0
"a[4,51]",0.00033,0.00195,-4e-05,-0.00416,0.00404,0
"a[5,51]",0.41571,0.0379,0.42981,0.3395,0.46951,1
"a[1,52]",0.23855,0.03716,0.25445,0.17903,0.2917,1
"a[2,52]",0.00304,0.00201,0.00278,-0.00102,0.0077,0
"a[3,52]",-0.02398,0.01353,-0.02211,-0.05436,-4e-05,1
"a[4,52]",0.00045,0.00188,-4e-05,-0.00357,0.00434,0
"a[5,52]",0.41556,0.03778,0.42875,0.33977,0.46989,1
"a[1,53]",0.23862,0.03723,0.25453,0.17923,0.29223,1
"a[2,53]",0.00286,0.00208,0.00263,-0.00165,0.00751,0
"a[3,53]",-0.02352,0.01455,-0.02173,-0.05737,0.00223,0
"a[4,53]",0.00038,0.00196,-4e-05,-0.00409,0.00422,0
"a[5,53]",0.41535,0.0379,0.42899,0.33694,0.46777,1
"a[1,54]",0.23863,0.03738,0.25418,0.17873,0.29209,1
"a[2,54]",0.00292,0.00208,0.00269,-0.00138,0.00751,0
"a[3,54]",-0.02409,0.01439,-0.02201,-0.05634,-4e-05,1
"a[4,54]",0.00036,0.0019,-4e-05,-0.00401,0.00411,0
"a[5,54]",0.41512,0.03801,0.42927,0.33807,0.46749,1
"a[1,55]",0.23791,0.03695,0.25395,0.17856,0.29018,1
"a[2,55]",0.00299,0.00199,0.00276,-0.00124,0.00747,0
"a[3,55]",-0.02373,0.01424,-0.02172,-0.05622,0.00162,0
"a[4,55]",0.00042,0.00187,-4e-05,-0.00357,0.00407,0
"a[5,55]",0.41645,0.03792,0.42953,0.33854,0.47116,1
"a[1,56]",0.23819,0.03696,0.25431,0.17777,0.29223,1
"a[2,56]",0.00293,0.00204,0.00272,-0.00165,0.00742,0
"a[3,56]",-0.0239,0.01402,-0.02203,-0.05875,0.00017,0
"a[4,56]",0.00035,0.00191,-4e-05,-0.00411,0.00406,0
"a[5,56]",0.41589,0.0371,0.42904,0.33981,0.46731,1
"a[1,57]",0.23856,0.03751,0.25474,0.17785,0.29343,1
"a[2,57]",0.003,0.00203,0.00273,-0.00139,0.00772,0
"a[3,57]",-0.02358,0.01394,-0.02183,-0.05782,-0.00028,1
"a[4,57]",0.00037,0.00185,-4e-05,-0.00366,0.00399,0
"a[5,57]",0.41533,0.03819,0.42982,0.33715,0.47007,1
"a[1,58]",0.23865,0.03719,0.25493,0.1791,0.29218,1
"a[2,58]",0.00287,0.00199,0.00265,-0.00139,0.00719,0
"a[3,58]",-0.02334,0.01398,-0.0218,-0.05626,0.00078,0
"a[4,58]",0.00034,0.00188,-4e-05,-0.00395,0.00386,0
"a[5,58]",0.41511,0.03868,0.4293,0.33585,0.47003,1
"a[1,59]",0.2385,0.03738,0.25432,0.17801,0.29416,1
"a[2,59]",0.00283,0.00194,0.00262,-0.00141,0.00726,0
"a[3,59]",-0.02356,0.01368,-0.02179,-0.05596,0.00094,0
"a[4,59]",0.00028,0.00182,-4e-05,-0.00405,0.00372,0
"a[5,59]",0.41674,0.03735,0.43044,0.34133,0.4714,1
"a[1,60]",0.23861,0.03722,0.25468,0.17882,0.29305,1
"a[2,60]",0.00299,0.00198,0.00275,-0.00112,0.00753,0
"a[3,60]",-0.0234,0.01384,-0.02146,-0.05598,0.00158,0
"a[4,60]",4e-04,0.00183,-4e-05,-0.0035,0.004,0
"a[5,60]",0.41556,0.03753,0.42971,0.34093,0.46796,1
"a[1,61]",0.23856,0.03712,0.25472,0.17906,0.29201,1
"a[2,61]",0.00291,0.00195,0.00269,-0.00143,0.00729,0
"a[3,61]",-0.02391,0.0141,-0.02179,-0.05668,0.00059,0
"a[4,61]",0.00038,0.00184,-4e-05,-0.00363,0.00391,0
"a[5,61]",0.41701,0.03718,0.43019,0.34237,0.47014,1
"a[1,62]",0.23832,0.0372,0.25388,0.17914,0.2925,1
"a[2,62]",0.00294,0.00196,0.00268,-0.00127,0.00743,0
"a[3,62]",-0.02412,0.01437,-0.02192,-0.05849,0.00061,0
"a[4,62]",0.00039,0.00185,-3e-05,-0.0038,0.00417,0
"a[5,62]",0.41796,0.0368,0.43117,0.34309,0.47222,1
"a[1,63]",0.23823,0.03709,0.25384,0.17859,0.29024,1
"a[2,63]",0.00287,0.00203,0.00265,-0.00151,0.00719,0
"a[3,63]",-0.02388,0.01379,-0.02228,-0.05632,0.00043,0
"a[4,63]",0.00028,0.00192,-5e-05,-0.00444,0.00385,0
"a[5,63]",0.41611,0.03747,0.43035,0.34076,0.46847,1
"a[1,64]",0.23805,0.03696,0.25339,0.17812,0.29208,1
"a[2,64]",0.00308,0.00203,0.0028,-0.00127,0.00796,0
"a[3,64]",-0.02388,0.0141,-0.02191,-0.05625,0.00024,0
"a[4,64]",0.00042,0.00184,-4e-05,-0.00357,0.00401,0
"a[5,64]",0.41699,0.0367,0.42973,0.3431,0.47196,1
"a[1,65]",0.23795,0.03679,0.2539,0.17821,0.28867,1
"a[2,65]",0.00298,0.00199,0.00275,-0.00138,0.00747,0
"a[3,65]",-0.02375,0.01377,-0.02169,-0.05748,-0.001,1
"a[4,65]",4e-04,0.00183,-3e-05,-0.00372,0.00392,0
"a[5,65]",0.41633,0.03758,0.42973,0.34005,0.46975,1
"a[1,66]",0.23871,0.03715,0.25407,0.18005,0.29389,1
"a[2,66]",0.00294,0.00206,0.00266,-0.00135,0.00755,0
"a[3,66]",-0.02361,0.01383,-0.02153,-0.05594,0.00046,0
"a[4,66]",0.00039,0.00185,-4e-05,-0.00372,0.00396,0
"a[5,66]",0.41506,0.03857,0.42905,0.33516,0.46888,1
"a[1,67]",0.23806,0.03702,0.25322,0.17877,0.29273,1
"a[2,67]",0.00294,0.00192,0.00269,-0.00115,0.00732,0
"a[3,67]",-0.0244,0.01444,-0.02245,-0.05835,0.00131,0
"a[4,67]",0.00035,0.0018,-4e-05,-0.00364,0.00377,0
"a[5,67]",0.41704,0.03741,0.43058,0.33961,0.46983,1
"a[1,68]",0.23757,0.03683,0.25322,0.17852,0.2902,1
"a[2,68]",0.0029,0.00195,0.00263,-0.00121,0.0074,0
"a[3,68]",-0.02515,0.01435,-0.02303,-0.06123,-0.00174,1
"a[4,68]",0.00025,0.00192,-4e-05,-0.00436,0.00387,0
"a[5,68]",0.42031,0.03587,0.4328,0.34773,0.47459,1
"a[1,69]",0.2381,0.03692,0.25389,0.17879,0.29064,1
"a[2,69]",0.00303,0.00196,0.00274,-0.00108,0.00764,0
"a[3,69]",-0.02424,0.01416,-0.02202,-0.05867,-4e-04,1
"a[4,69]",0.00048,0.0018,-3e-05,-0.0034,0.00403,0
"a[5,69]",0.41673,0.03704,0.42995,0.34333,0.47025,1
"a[1,70]",0.23834,0.03709,0.25343,0.17877,0.2916,1
"a[2,70]",0.00304,0.00194,0.00276,-0.00098,0.00732,0
"a[3,70]",-0.0244,0.0145,-0.02196,-0.05963,0.00021,0
"a[4,70]",0.00037,0.00192,-4e-05,-0.00415,0.00402,0
"a[5,70]",0.41718,0.03685,0.43003,0.34338,0.47068,1
"a[1,71]",0.23862,0.03744,0.25479,0.17855,0.29165,1
"a[2,71]",0.00287,0.00205,0.00263,-0.00151,0.0075,0
"a[3,71]",-0.02321,0.01398,-0.02112,-0.05521,0.0021,0
"a[4,71]",0.00032,0.00187,-4e-05,-0.00399,0.00402,0
"a[5,71]",0.41474,0.038,0.42811,0.33585,0.46848,1
"a[1,72]",0.2379,0.03703,0.25381,0.17833,0.29011,1
"a[2,72]",0.00276,0.00202,0.0026,-0.0017,0.00731,0
"a[3,72]",-0.02338,0.0141,-0.02171,-0.05549,0.00274,0
"a[4,72]",0.00029,0.00187,-4e-05,-0.00416,0.00361,0
"a[5,72]",0.41623,0.03737,0.43014,0.34002,0.4685,1
"a[1,73]",0.23857,0.03731,0.2546,0.17893,0.293,1
"a[2,73]",0.00298,0.002,0.0027,-0.00101,0.00753,0
"a[3,73]",-0.02333,0.01402,-0.02142,-0.05564,0.00113,0
"a[4,73]",0.00037,0.00191,-4e-05,-0.00392,0.00417,0
"a[5,73]",0.41612,0.03796,0.42972,0.33726,0.47134,1
"a[1,74]",0.23813,0.03706,0.2541,0.17822,0.29228,1
"a[2,74]",0.00288,0.00197,0.00265,-0.0016,0.00735,0
"a[3,74]",-0.0236,0.01426,-0.02202,-0.05521,0.00162,0
"a[4,74]",0.00033,0.00199,-4e-05,-0.00412,0.004,0
"a[5,74]",0.41604,0.03778,0.4302,0.33702,0.46983,1
"a[1,75]",0.23801,0.0369,0.25376,0.1786,0.28978,1
"a[2,75]",0.0029,0.00195,0.00268,-0.00135,0.0071,0
"a[3,75]",-0.02364,0.01419,-0.02156,-0.05682,0.00072,0
"a[4,75]",0.00032,0.00189,-4e-05,-0.00421,0.00388,0
"a[5,75]",0.41681,0.03733,0.43036,0.34272,0.46943,1
"a[1,76]",0.23834,0.03721,0.25415,0.17895,0.29236,1
"a[2,76]",0.00279,0.00201,0.00262,-0.00167,0.00734,0
"a[3,76]",-0.02358,0.01423,-0.02199,-0.05551,0.00151,0
"a[4,76]",0.00026,0.0019,-4e-05,-0.00434,0.00382,0
"a[5,76]",0.41602,0.03718,0.4295,0.33923,0.46828,1
"a[1,77]",0.23852,0.03723,0.25399,0.17935,0.29087,1
"a[2,77]",0.00298,0.00193,0.00273,-0.00111,0.00746,0
"a[3,77]",-0.02327,0.01383,-0.02154,-0.05562,0.00063,0
"a[4,77]",0.00033,0.00177,-4e-05,-0.0036,0.00371,0
