"","mean","sd","median","lower2.5","upper97.5","diff"
"a[4,51]",0.00122,0.00217,0.00151,-0.00331,0.00486,0
"a[5,51]",0.43013,0.01138,0.42954,0.40845,0.45439,1
"a[1,52]",0.25258,0.01619,0.2542,0.22732,0.28563,1
"a[2,52]",0.00279,0.00222,0.00195,2e-05,0.00772,1
"a[3,52]",0.00106,0.01134,0.00148,-0.02112,0.0177,0
"a[4,52]",0.0012,0.00217,0.00149,-0.00323,0.00493,0
"a[5,52]",0.42983,0.01124,0.42919,0.40752,0.45377,1
"a[1,53]",0.25272,0.01604,0.2543,0.2281,0.28597,1
"a[2,53]",0.00284,0.00226,0.00196,0.00011,0.00783,1
"a[3,53]",0.00097,0.01136,0.00144,-0.02112,0.0173,0
"a[4,53]",0.00121,0.00221,0.00152,-0.00337,0.00505,0
"a[5,53]",0.42963,0.01093,0.42933,0.40733,0.45227,1
"a[1,54]",0.25266,0.01587,0.25446,0.22783,0.28472,1
"a[2,54]",0.00279,0.00227,0.0019,-6e-05,0.00779,0
"a[3,54]",0.00097,0.01142,0.00139,-0.02183,0.01735,0
"a[4,54]",0.00119,0.00216,0.00148,-0.00327,0.00493,0
"a[5,54]",0.42988,0.01095,0.42949,0.40785,0.4524,1
"a[1,55]",0.25234,0.01599,0.25378,0.22756,0.28429,1
"a[2,55]",0.00285,0.00224,0.00199,7e-05,0.00783,1
"a[3,55]",0.00074,0.0114,0.00122,-0.02168,0.01777,0
"a[4,55]",0.00122,0.0022,0.00149,-0.00318,0.00501,0
"a[5,55]",0.43006,0.01102,0.42943,0.40832,0.45369,1
"a[1,56]",0.25265,0.01614,0.2542,0.22762,0.28595,1
"a[2,56]",0.0028,0.00224,0.00195,-3e-05,0.00765,0
"a[3,56]",0.00079,0.01127,0.00124,-0.02145,0.01674,0
"a[4,56]",0.00121,0.00215,0.00149,-0.00321,0.00492,0
"a[5,56]",0.42998,0.01084,0.42961,0.40831,0.45345,1
"a[1,57]",0.25285,0.01591,0.25445,0.22796,0.28525,1
"a[2,57]",0.00288,0.00229,0.00199,5e-05,0.00785,1
"a[3,57]",0.00073,0.01147,0.00092,-0.02129,0.01768,0
"a[4,57]",0.0012,0.00217,0.00143,-0.0032,0.005,0
"a[5,57]",0.43003,0.01094,0.42944,0.4086,0.45324,1
"a[1,58]",0.25238,0.01594,0.25419,0.2274,0.28522,1
"a[2,58]",0.00277,0.00222,0.00193,-1e-05,0.00761,0
"a[3,58]",0.00073,0.01145,0.001,-0.02153,0.01726,0
"a[4,58]",0.00116,0.00218,0.00148,-0.00336,0.00483,0
"a[5,58]",0.43014,0.01162,0.42939,0.40806,0.45537,1
"a[1,59]",0.25252,0.01617,0.25397,0.22748,0.2864,1
"a[2,59]",0.00288,0.00229,0.00206,9e-05,0.00785,1
"a[3,59]",0.00076,0.01146,0.00112,-0.02186,0.01744,0
"a[4,59]",0.00125,0.00218,0.0015,-0.00326,0.00504,0
"a[5,59]",0.42983,0.01124,0.42948,0.40843,0.45288,1
"a[1,60]",0.25244,0.01613,0.25407,0.22718,0.28409,1
"a[2,60]",0.00272,0.0022,0.00185,-0.00012,0.00751,0
"a[3,60]",0.00091,0.01121,0.00115,-0.02128,0.01705,0
"a[4,60]",0.00115,0.00218,0.00141,-0.00328,0.00491,0
"a[5,60]",0.43015,0.01116,0.42962,0.40835,0.45436,1
"a[1,61]",0.2527,0.01607,0.25438,0.22747,0.28547,1
"a[2,61]",0.00283,0.00224,0.00195,5e-05,0.00776,1
"a[3,61]",0.00094,0.01137,0.00121,-0.0212,0.01754,0
"a[4,61]",0.00122,0.00218,0.00148,-0.00317,0.00502,0
"a[5,61]",0.43024,0.01121,0.42957,0.40818,0.45499,1
"a[1,62]",0.25241,0.01584,0.25421,0.22768,0.28321,1
"a[2,62]",0.00273,0.00219,0.00188,-0.00011,0.00764,0
"a[3,62]",0.00083,0.01133,0.00091,-0.02121,0.01776,0
"a[4,62]",0.00113,0.00215,0.00141,-0.00323,0.00482,0
"a[5,62]",0.43028,0.01137,0.42951,0.40803,0.4571,1
"a[1,63]",0.2526,0.01615,0.2544,0.22762,0.28512,1
"a[2,63]",0.00268,0.00218,0.00188,-0.00014,0.00744,0
"a[3,63]",0.00087,0.01118,0.00124,-0.02126,0.01677,0
"a[4,63]",0.0011,0.00215,0.0014,-0.00346,0.00476,0
"a[5,63]",0.42961,0.01102,0.42929,0.40717,0.4517,1
"a[1,64]",0.25253,0.01596,0.25451,0.22727,0.28366,1
"a[2,64]",0.00283,0.00223,0.002,7e-05,0.00775,1
"a[3,64]",0.00059,0.01124,0.00084,-0.02155,0.01676,0
"a[4,64]",0.00121,0.00218,0.00149,-0.00326,0.00494,0
"a[5,64]",0.43013,0.01152,0.42954,0.40766,0.45584,1
"a[1,65]",0.25257,0.01578,0.25407,0.22816,0.2845,1
"a[2,65]",0.00268,0.00219,0.00182,-0.00011,0.00762,0
"a[3,65]",9e-04,0.01143,0.00107,-0.02146,0.01742,0
"a[4,65]",0.00113,0.0022,0.00143,-0.00337,0.00492,0
"a[5,65]",0.43008,0.01129,0.42956,0.40763,0.45465,1
"a[1,66]",0.2524,0.01588,0.25428,0.22737,0.28499,1
"a[2,66]",0.00277,0.00223,0.00195,-3e-05,0.0077,0
"a[3,66]",0.00071,0.01145,0.00097,-0.02211,0.01696,0
"a[4,66]",0.00115,0.00215,0.00144,-0.00319,0.00484,0
"a[5,66]",0.42987,0.01164,0.42931,0.40721,0.45372,1
"a[1,67]",0.2524,0.01636,0.25398,0.22679,0.2862,1
"a[2,67]",0.00282,0.00224,0.00198,2e-05,0.00783,1
"a[3,67]",0.00072,0.01148,0.00108,-0.02166,0.01705,0
"a[4,67]",0.00122,0.0022,0.00147,-0.00321,0.00505,0
"a[5,67]",0.43031,0.01121,0.42975,0.40876,0.45637,1
"a[1,68]",0.25231,0.01556,0.25396,0.22803,0.28363,1
"a[2,68]",0.00278,0.00219,0.00196,1e-04,0.00754,1
"a[3,68]",0.00075,0.01122,0.00118,-0.0213,0.01714,0
"a[4,68]",0.00114,0.00217,0.00146,-0.00332,0.0049,0
"a[5,68]",0.4299,0.01124,0.42933,0.40753,0.45359,1
"a[1,69]",0.25239,0.01594,0.25405,0.22734,0.28419,1
"a[2,69]",0.00285,0.00222,0.00196,0.00016,0.00778,1
"a[3,69]",0.00089,0.01131,0.0011,-0.02169,0.01676,0
"a[4,69]",0.00123,0.00217,0.00151,-0.0031,0.00501,0
"a[5,69]",0.43001,0.01098,0.42953,0.4084,0.45237,1
"a[1,70]",0.25247,0.01567,0.25437,0.22827,0.28437,1
"a[2,70]",0.00276,0.00224,0.00188,-8e-05,0.00763,0
"a[3,70]",0.00094,0.01141,0.00117,-0.02132,0.01764,0
"a[4,70]",0.00112,0.00218,0.00145,-0.00339,0.00484,0
"a[5,70]",0.42958,0.01113,0.42939,0.40702,0.45236,1
"a[1,71]",0.2527,0.01595,0.25428,0.22768,0.28571,1
"a[2,71]",0.00279,0.00223,0.00198,-1e-05,0.00766,0
"a[3,71]",0.00083,0.01134,0.00116,-0.02142,0.01713,0
"a[4,71]",0.00112,0.00215,0.00142,-0.00323,0.00486,0
"a[5,71]",0.42994,0.01135,0.42955,0.40733,0.4529,1
"a[1,72]",0.25263,0.01565,0.25402,0.22832,0.28421,1
"a[2,72]",0.00282,0.00223,0.00194,5e-05,0.0077,1
"a[3,72]",0.00068,0.01146,0.00097,-0.02169,0.01706,0
"a[4,72]",0.0012,0.00216,0.00149,-0.00335,0.00486,0
"a[5,72]",0.42978,0.01111,0.42945,0.40789,0.45209,1
"a[1,73]",0.25206,0.01565,0.25392,0.2277,0.28305,1
"a[2,73]",0.00286,0.00225,0.00204,0.00017,0.00789,1
"a[3,73]",0.00064,0.01131,0.00107,-0.02128,0.01699,0
"a[4,73]",0.00123,0.0022,0.0015,-0.00337,0.005,0
"a[5,73]",0.43005,0.01095,0.42938,0.40839,0.45305,1
"a[1,74]",0.25212,0.01587,0.25349,0.22773,0.28345,1
"a[2,74]",0.00283,0.00228,0.00197,4e-05,0.00782,1
"a[3,74]",0.00087,0.01144,0.00102,-0.02129,0.01757,0
"a[4,74]",0.0012,0.00218,0.00153,-0.00336,0.00494,0
"a[5,74]",0.42977,0.0113,0.42925,0.4081,0.45417,1
"a[1,75]",0.25182,0.01565,0.25353,0.22707,0.28236,1
"a[2,75]",0.0028,0.0022,0.00198,3e-05,0.00756,1
"a[3,75]",0.00075,0.01134,8e-04,-0.02147,0.01707,0
"a[4,75]",0.00118,0.00216,0.00146,-0.00336,0.00495,0
"a[5,75]",0.43066,0.01164,0.42969,0.40977,0.45618,1
"a[1,76]",0.25216,0.0157,0.25368,0.22817,0.28491,1
"a[2,76]",0.00292,0.00229,0.00207,0.00014,0.00787,1
"a[3,76]",0.00066,0.01118,0.00105,-0.02167,0.01659,0
"a[4,76]",0.00129,0.00221,0.00157,-0.0033,0.00511,0
"a[5,76]",0.43073,0.01125,0.42977,0.40926,0.45741,1
"a[1,77]",0.25216,0.01578,0.25379,0.22732,0.28338,1
"a[2,77]",0.00283,0.00224,0.002,6e-05,0.0077,1
"a[3,77]",0.00066,0.01132,0.00103,-0.02145,0.01682,0
"a[4,77]",0.00118,0.0021,0.00148,-0.00313,0.00483,0
"a[5,77]",0.42994,0.01153,0.42935,0.40837,0.45358,1
"a[1,78]",0.25275,0.01598,0.25428,0.22786,0.28562,1
"a[2,78]",0.00281,0.00224,0.00194,1e-05,0.00759,1
"a[3,78]",0.00083,0.01138,0.0012,-0.0217,0.01745,0
"a[4,78]",0.00117,0.00216,0.00141,-0.00333,0.00485,0
"a[5,78]",0.42985,0.0114,0.42947,0.40703,0.45445,1
"a[1,79]",0.25253,0.01589,0.25437,0.22795,0.2845,1
"a[2,79]",0.00278,0.00226,0.00194,-5e-05,0.00773,0
