"","mean","sd","median","lower2.5","upper97.5","diff"
"alpha[12,4,2,2]",0.01946,0.02053,0.01256,0.00045,0.07603,1
"alpha[1,5,2,2]",0.13933,0.13181,0.09261,0.0024,0.45304,1
"alpha[2,5,2,2]",0.06652,0.06197,0.04746,0.00203,0.23454,1
"alpha[3,5,2,2]",0.12719,0.12885,0.07917,0.00176,0.45331,1
"alpha[4,5,2,2]",0.09659,0.09473,0.06644,0.00222,0.35212,1
"alpha[5,5,2,2]",0.14559,0.19336,0.02818,0.00068,0.57313,1
"alpha[6,5,2,2]",0.08095,0.07639,0.05705,0.00195,0.28041,1
"alpha[7,5,2,2]",0.04051,0.04538,0.02676,0.001,0.16515,1
"alpha[8,5,2,2]",0.05075,0.05913,0.02983,0.0011,0.21861,1
"alpha[9,5,2,2]",0.09597,0.13341,0.03568,0.00099,0.49529,1
"alpha[10,5,2,2]",0.07801,0.07388,0.05449,0.00206,0.27516,1
"alpha[11,5,2,2]",0.04748,0.04673,0.03098,0.00079,0.16571,1
"alpha[12,5,2,2]",0.03112,0.03237,0.02038,0.00073,0.12571,1
"cum.weight[1,1,1]",0,0,0,0,0,0.5
"cum.weight[2,1,1]",0,0,0,0,0,0.5
"cum.weight[3,1,1]",0,0,0,0,0,0.5
"cum.weight[4,1,1]",0.02654,0.02275,0.02073,0.00075,0.08373,1
"cum.weight[5,1,1]",0.0568,0.03213,0.05211,0.009,0.13118,1
"cum.weight[6,1,1]",0.08094,0.03475,0.07793,0.0226,0.15621,1
"cum.weight[7,1,1]",0.10893,0.0404,0.10625,0.03911,0.19585,1
"cum.weight[8,1,1]",0.1372,0.04623,0.1338,0.0566,0.23824,1
"cum.weight[9,1,1]",0.1647,0.05099,0.16138,0.07601,0.27514,1
"cum.weight[10,1,1]",0.19395,0.0564,0.1902,0.09467,0.31406,1
"cum.weight[11,1,1]",0.22292,0.0607,0.21956,0.1152,0.35205,1
"cum.weight[12,1,1]",0.25302,0.06391,0.24956,0.13827,0.38602,1
"cum.weight[13,1,1]",0.28205,0.06598,0.27959,0.1617,0.41728,1
"cum.weight[14,1,1]",0.31182,0.06511,0.31089,0.18856,0.43996,1
